"location","location2","location3","location4","lat_OSM","lon_OSM"
"Kingdom of Saudi Arabia","Kingdom of Saudi Arabia","Kingdom of Saudi Arabia","Kingdom of Saudi Arabia",25.6242618,42.3528328
"motor city","motor city","motor city","motor city",25.04357595,55.2377227571651
"Barcelona, Cataluña","Barcelona, Cataluña","Barcelona  Cataluña","Barcelona  Cataluña",41.3828939,2.1774322
"houston, tx, usa","houston, tx, usa","houston  tx  usa","houston  tx  usa",29.7589382,-95.3676974
"Kigali - Rwanda","Kigali - Rwanda","Kigali   Rwanda","Kigali   Rwanda",-1.950851,30.061507
"Deportation catapult station<U+0001F44C>","Deportation catapult station","Deportation catapult station","Deportation catapult station",,
"Via Giulio Cesare, 10, Trieste","Via Giulio Cesare, 10, Trieste","Via Giulio Cesare  10  Trieste","Via Giulio Cesare  10  Trieste",45.6448411,13.7547199
"The Potato State","The Potato State","The Potato State","The Potato State",36.1209032,-89.2350696
"South Africa and Worldwide","South Africa and ","South Africa and ","South Africa and",-28.8166236,24.991639
"Venezuela (Caracas)","Venezuela (Caracas)","Venezuela  Caracas ","Venezuela  Caracas",-33.479564,-70.5659701
"Uttar Pradesh, India","Uttar Pradesh, India","Uttar Pradesh  India","Uttar Pradesh  India",27.1303344,80.859666
"Guayaquil, Ecuador y España","Guayaquil, Ecuador y España","Guayaquil  Ecuador y España","Guayaquil  Ecuador y España",37.2230659,-7.4009029
"An Undisclosed bunker ","An Undisclosed bunker ","An Undisclosed bunker ","An Undisclosed bunker",,
"Guayaquil, Ecuador","Guayaquil, Ecuador","Guayaquil  Ecuador","Guayaquil  Ecuador",-2.1899066,-79.887726
"South of Antarctica","South of Antarctica","South of Antarctica","South of Antarctica",-79.4063075,0.3149312
"ph","ph","ph","ph",12.7503486,122.7312101
"Queens, NY","Queens, NY","Queens  NY","Queens  NY",40.7498243,-73.7976337
"Alwar Raj.  India .","Alwar Raj.  India .","Alwar Raj   India  ","Alwar Raj   India",,
"Gulfport ms","Gulfport ms","Gulfport ms","Gulfport ms",30.3674198,-89.0928155
"Texas!!!!","Texas!!!!","Texas    ","Texas",31.8160381,-99.5120986
"Santos, Brasil","Santos, Brasil","Santos  Brasil","Santos  Brasil",-23.960833,-46.333889
"okla","okla","okla","okla",34.9550817,-97.2684063
"Alabama, USA","Alabama, USA","Alabama  USA","Alabama  USA",33.2588817,-86.8295337
"Texas, United States","Texas, United States","Texas  United States","Texas  United States",31.8160381,-99.5120986
"wuhan","wuhan","wuhan","wuhan",30.5951051,114.2999353
"Coahuila y Tejas","Coahuila y Tejas","Coahuila y Tejas","Coahuila y Tejas",,
"Troy, MI","Troy, MI","Troy  MI","Troy  MI",42.6055893,-83.1499304
"The ""T"" of Pennsylvania","The ""T"" of Pennsylvania","The  T  of Pennsylvania","The  T  of Pennsylvania",40.9699889,-77.7278831
"Sacramento, CA","Sacramento, CA","Sacramento  CA","Sacramento  CA",38.5815719,-121.4943996
"República Catalana","República Catalana","República Catalana","República Catalana",43.6010685,6.5622258
"Blanchard, OK","Blanchard, OK","Blanchard  OK","Blanchard  OK",35.1378428,-97.6580904
"cinci ohayou","cinci ohayou","cinci ohayou","cinci ohayou",,
"Red State, USA","Red State, USA","Red State  USA","Red State  USA",39.543027,-104.898401110576
"Conservativeland, Orange Co CA","Conservativeland, Orange Co CA","Conservativeland  Orange Co CA","Conservativeland  Orange Co CA",,
"Halifax","Halifax","Halifax","Halifax",44.648618,-63.5859487
"Carlisle, PA","Carlisle, PA","Carlisle  PA","Carlisle  PA",40.201499,-77.1890783
"El Paso, Texas Deplorable","El Paso, Texas Deplorable","El Paso  Texas Deplorable","El Paso  Texas Deplorable",,
"United States Born Working in Disruptive Environments","United States Born Working in Disruptive Environments","United States Born Working in Disruptive Environments","United States Born Working in Disruptive Environments",,
"Asturias","Asturias","Asturias","Asturias",43.2710878,-5.8541457445873
"USA Central Time Zone","USA Central Time Zone","USA Central Time Zone","USA Central Time Zone",,
"Connecticut, USA","Connecticut, USA","Connecticut  USA","Connecticut  USA",41.6500201,-72.7342163
"Catalunya.","Catalunya.","Catalunya ","Catalunya",41.8523094,1.5745043
"Light City","Light City","Light City","Light City",3.0649362,101.4831975
"Catalana i ciutadana del món","Catalana i ciutadana del món","Catalana i ciutadana del món","Catalana i ciutadana del món",,
"North Carolina, USA","North Carolina, USA","North Carolina  USA","North Carolina  USA",35.6729639,-79.0392919
"empire","empire","empire","empire",37.6381956,-120.902194
"UK","UK","UK","UK",54.7023545,-3.2765753
"Kerala","Kerala","Kerala","Kerala",10.3528744,76.5120396
"South Florida","South Florida","South Florida","South Florida",37.1677128,-94.8464256
"Barcelona, Catalunya ","Barcelona, Catalunya ","Barcelona  Catalunya ","Barcelona  Catalunya",41.3828939,2.1774322
"PARIS XX","PARIS XX","PARIS XX","PARIS XX",48.865042,2.398929
"NativTex/NativAm/Mex/Span etc","NativTex/NativAm/Mex/Span etc","NativTex NativAm Mex Span etc","NativTex NativAm Mex Span etc",,
"Phoenix, AZ","Phoenix, AZ","Phoenix  AZ","Phoenix  AZ",33.4484367,-112.0741417
"Plains","Plains","Plains","Plains",33.1887135,-102.8279889
"Tehran Iran ","Tehran Iran ","Tehran Iran ","Tehran Iran",35.7006177,51.4013785
"Tenterden","Tenterden","Tenterden","Tenterden",51.0700956,0.6888267
"Alpharetta, GA","Alpharetta, GA","Alpharetta  GA","Alpharetta  GA",34.0709576,-84.2747329
"07960","07960","07960","07960",40.811289,-74.485822
"Mexico City","Mexico City","Mexico City","Mexico City",19.4326296,-99.1331785
"Deep in the <U+2764> ","Deep in the  ","Deep in the  ","Deep in the",24.7007632,84.993956
"u picku materinu","u picku materinu","u picku materinu","u picku materinu",,
"Costa Rica","Costa Rica","Costa Rica","Costa Rica",10.2735633,-84.0739102
"Trumpville","Trumpville","Trumpville","Trumpville",,
"West Palm Beach, FL","West Palm Beach, FL","West Palm Beach  FL","West Palm Beach  FL",26.715364,-80.0532942
"Colorado","Colorado","Colorado","Colorado",38.7251776,-105.6077167
"why would I tell you?","why would I tell you?","why would I tell you ","why would I tell you",,
"Sant Esteve de las Roures","Sant Esteve de las Roures","Sant Esteve de las Roures","Sant Esteve de las Roures",,
"België","België","België","België",50.6402809,4.6667145
"Deep & Silent","Deep & Silent","Deep   Silent","Deep   Silent",29.5402315,-95.7298208
"shadow banned","shadow banned","shadow banned","shadow banned",,
"Oregon","Oregon","Oregon","Oregon",43.9792797,-120.737257
"Himinbjörg","Himinbjörg","Himinbjörg","Himinbjörg",,
"Greece, UK.","Greece, UK.","Greece  UK ","Greece  UK",51.50548085,-0.204533321083997
"in the East","in the East","in the East","in the East",45.0999012,-64.2577597
"Mare Undarum","Mare Undarum","Mare Undarum","Mare Undarum",,
"SE, USA","SE, USA","SE  USA","SE  USA",41.4134491,-73.6231505
"Brooklyn NY","Brooklyn NY","Brooklyn NY","Brooklyn NY",40.6501038,-73.9495823
"Orange County,  CA","Orange County,  CA","Orange County   CA","Orange County   CA",33.7500378,-117.8704931
"USSANews.com ","USSANews.com ","USSANews com ","USSANews com",,
"The United States Of America","The United States Of America","The United States Of America","The United States Of America",39.7837304,-100.4458825
"Austin area, TX","Austin area, TX","Austin area  TX","Austin area  TX",30.2711286,-97.7436995
"The motherfuckin Everglades ","The motherfuckin Everglades ","The motherfuckin Everglades ","The motherfuckin Everglades",,
"Caribbean","Caribbean","Caribbean","Caribbean",18.4,-75
"North America","North America","North America","North America",51.0000002,-109.0000002
"Indianapolis","Indianapolis","Indianapolis","Indianapolis",39.7683331,-86.1583502
"Michigan. Temecula (CA)","Michigan. Temecula (CA)","Michigan  Temecula  CA ","Michigan  Temecula  CA",,
"Dublin","Dublin","Dublin","Dublin",53.3497645,-6.2602732
"London, 1965","London, 1965","London  1965","London  1965",38.1943567,-81.3686944
"DC/Northern VA","DC/Northern VA","DC Northern VA","DC Northern VA",8.4855262,124.6506174
"Within the Northern Tribes<U+270C><U+0001F3FB>","Within the Northern Tribes","Within the Northern Tribes","Within the Northern Tribes",,
"Cyberspace","Cyberspace","Cyberspace","Cyberspace",6.427299,3.42166786470324
"~the waves~","~the waves~","~the waves~","~the waves~",51.5798918,-116.5183016
"SW England","SW England","SW England","SW England",51.0339991,-2.94901191602119
"So Cal","So Cal","So Cal","So Cal",-33.8309062,151.2213858
"originally from Scarborough. ","originally from Scarborough. ","originally from Scarborough  ","originally from Scarborough",,
"The Great State of TEXAS!","The Great State of TEXAS!","The Great State of TEXAS ","The Great State of TEXAS",,
"EPTizzle.","EPTizzle.","EPTizzle ","EPTizzle",,
"Parts Unkown","Parts Unkown","Parts Unkown","Parts Unkown",,
"Selma, TX","Selma, TX","Selma  TX","Selma  TX",29.5848923,-98.305779
"Amsterdam, Nederland","Amsterdam, Nederland","Amsterdam  Nederland","Amsterdam  Nederland",52.3745403,4.89797550561798
"The Virtual Plaza","The Virtual Plaza","The Virtual Plaza","The Virtual Plaza",45.1875022,5.7156777
"Huntsville, AL","Huntsville, AL","Huntsville  AL","Huntsville  AL",33.554113,-86.804219
"Myrtle Beach/Brunswick","Myrtle Beach/Brunswick","Myrtle Beach Brunswick","Myrtle Beach Brunswick",33.9468604,-78.5751915
"Maryland","Maryland","Maryland","Maryland",39.5162234,-76.9382069
"Anchorage, AK","Anchorage, AK","Anchorage  AK","Anchorage  AK",61.2163129,-149.8948523
"Ibadan","Ibadan","Ibadan","Ibadan",7.3777462,3.8972497
"Austin","Austin","Austin","Austin",30.2711286,-97.7436995
"Louisiana, USA","Louisiana, USA","Louisiana  USA","Louisiana  USA",30.8703881,-92.007126
"Traversing the 5th dimension","Traversing the 5th dimension","Traversing the 5th dimension","Traversing the 5th dimension",,
"TX","TX","TX","TX",31.8160381,-99.5120986
"West is the best","West is the best","West is the best","West is the best",51.510017,5.39866199005647
"Hillister, Tx","Hillister, Tx","Hillister  Tx","Hillister  Tx",30.6677037,-94.3813066
"Pacific Northwest, USA, by way","Pacific Northwest, USA, by way","Pacific Northwest  USA  by way","Pacific Northwest  USA  by way",,
"Shanghai","Shanghai","Shanghai","Shanghai",31.2252985,121.4890497
"From Gensokyo","From Gensokyo","From Gensokyo","From Gensokyo",,
"Stanford, California","Stanford, California","Stanford  California","Stanford  California",37.427467,-122.1702445
"Darkest Maine","Darkest Maine","Darkest Maine","Darkest Maine",,
"tabarnak","tabarnak","tabarnak","tabarnak",48.6846104,6.1789071
"Lake Worth, FL","Lake Worth, FL","Lake Worth  FL","Lake Worth  FL",26.615891,-80.0691435
"30605","30605","30605","30605",33.9479214,-83.3687277
"People's Republic of Scotland","People's Republic of Scotland","People s Republic of Scotland","People s Republic of Scotland",,
"Beautiful Pacific Northwest","Beautiful Pacific Northwest","Beautiful Pacific Northwest","Beautiful Pacific Northwest",,
"At-large","At-large","At large","At large",45.9872603,5.0440174
"south meets north","south meets north","south meets north","south meets north",35.7776917,139.780055
"L'Alfàs del Pi, Spain","L'Alfàs del Pi, Spain","L Alfàs del Pi  Spain","L Alfàs del Pi  Spain",,
"on an FBI watchlist.","on an FBI watchlist.","on an FBI watchlist ","on an FBI watchlist",,
"Wynantskill NY","Wynantskill NY","Wynantskill NY","Wynantskill NY",42.6358994,-73.5428828
"Valley Village, Los Angeles","Valley Village, Los Angeles","Valley Village  Los Angeles","Valley Village  Los Angeles",34.1637147,-118.3965758
"West Region, Singapore","West Region, Singapore","West Region  Singapore","West Region  Singapore",59.356063,18.1057451
"Shitholefornia, USA","Shitholefornia, USA","Shitholefornia  USA","Shitholefornia  USA",,
"Colorado ","Colorado ","Colorado ","Colorado",38.7251776,-105.6077167
"Dungeons of the SSEU","Dungeons of the SSEU","Dungeons of the SSEU","Dungeons of the SSEU",,
"LaVergne, TN","LaVergne, TN","LaVergne  TN","LaVergne  TN",44.9131959,2.919605
"Retired in Tavares, Florida","Retired in Tavares, Florida","Retired in Tavares  Florida","Retired in Tavares  Florida",,
"ATX","ATX","ATX","ATX",51.8517097,68.3655586
"secret illuminati hide out","secret illuminati hide out","secret illuminati hide out","secret illuminati hide out",,
"Hiraeth","Hiraeth","Hiraeth","Hiraeth",51.8582376,-4.6556625
"Sector ZZ9","Sector ZZ9","Sector ZZ9","Sector ZZ9",,
"Silicon Valley, CA","Silicon Valley, CA","Silicon Valley  CA","Silicon Valley  CA",37.4429964,-122.1545229
"North Jersey","North Jersey","North Jersey","North Jersey",49.21230655,-2.12559995964288
"Pittsburgh","Pittsburgh","Pittsburgh","Pittsburgh",40.4416941,-79.9900861
"Dalton,GA the United States","Dalton,GA the United States","Dalton GA the United States","Dalton GA the United States",34.7691867,-84.9702475
"Roanoke virginia","Roanoke virginia","Roanoke virginia","Roanoke virginia",37.270973,-79.9414313
"Dallas/ Ft. Worth Area","Dallas/ Ft. Worth Area","Dallas  Ft  Worth Area","Dallas  Ft  Worth Area",32.737242,-97.232572
"Washington, D.C.","Washington, D.C.","Washington  D C ","Washington  D C",38.8949855,-77.0365708
"Thurstaston","Thurstaston","Thurstaston","Thurstaston",53.3484414,-3.1325358
"Nan Madol","Nan Madol","Nan Madol","Nan Madol",6.8431516,158.332758966578
"CyberSpace","CyberSpace","CyberSpace","CyberSpace",6.427299,3.42166786470324
"THE BANK <U+0001F4B2>","THE BANK ","THE BANK ","THE BANK",44.97653965,-93.2240767261973
"The Great Lodge Above ","The Great Lodge Above ","The Great Lodge Above ","The Great Lodge Above",,
"trapped in America","trapped in America","trapped in America","trapped in America",,
"Mo<U+0441><U+043A><U+0432><U+0430>","Mo","Mo","Mo",38.7604815,-92.5617875
"Tannhäuser Gate","Tannhäuser Gate","Tannhäuser Gate","Tannhäuser Gate",52.747787,11.9881862
"In the cockpit ","In the cockpit ","In the cockpit ","In the cockpit",14.7992682,100.6574457
"The South","The South","The South","The South",36.638392,127.6961188
"Minneapolis, MN","Minneapolis, MN","Minneapolis  MN","Minneapolis  MN",44.9772995,-93.2654692
"Upstream","Upstream","Upstream","Upstream",37.7902213,-121.3119638
"Northeast , US","Northeast , US","Northeast   US","Northeast   US",41.7370229,-99.5873816
"Cambridgeshire","Cambridgeshire","Cambridgeshire","Cambridgeshire",52.333333,0.083333
"Lahore","Lahore","Lahore","Lahore",31.5656079,74.3141775
"Maharashtra, India","Maharashtra, India","Maharashtra  India","Maharashtra  India",19.531932,76.0554568
"Chicago/Philadelphia","Chicago/Philadelphia","Chicago Philadelphia","Chicago Philadelphia",41.96311755,-87.6713800697251
" the spectrum"," the spectrum"," the spectrum","the spectrum",35.33253815,33.2774688161902
"*Teleports behind you *","*Teleports behind you *"," Teleports behind you  ","Teleports behind you",,
"Victoria, Australia","Victoria, Australia","Victoria  Australia","Victoria  Australia",-36.5986096,144.6780052
"Pittsburgh, PA","Pittsburgh, PA","Pittsburgh  PA","Pittsburgh  PA",40.4416941,-79.9900861
"N.J.","N.J.","N J ","N J",40.0757384,-74.4041622
"Sweet Home Alabama","Sweet Home Alabama","Sweet Home Alabama","Sweet Home Alabama",31.1123035,-97.7872466
"Bitch Ville","Bitch Ville","Bitch Ville","Bitch Ville",38.3348728,-75.0847659
"Montana USA","Montana USA","Montana USA","Montana USA",47.3752671,-109.6387579
"North Carolina/Florida/N.J.","North Carolina/Florida/N.J.","North Carolina Florida N J ","North Carolina Florida N J",,
"The Twilight Zone","The Twilight Zone","The Twilight Zone","The Twilight Zone",54.66369015,-5.66674873618932
"Your mom’s basement","Your mom’s basement","Your mom s basement","Your mom s basement",36.090794,-115.3511389
"San Jose, CA","San Jose, CA","San Jose  CA","San Jose  CA",37.3361905,-121.8905833
"Bowels of Hell. (USA)","Bowels of Hell. (USA)","Bowels of Hell   USA ","Bowels of Hell   USA",,
"Clearwater Florida","Clearwater Florida","Clearwater Florida","Clearwater Florida",27.9658533,-82.8001026
"Kekistan, Montréal, Québec","Kekistan, Montréal, Québec","Kekistan  Montréal  Québec","Kekistan  Montréal  Québec",,
"ukrane","ukrane","ukrane","ukrane",38.0535342,-86.4894543
"Farmville, TX","Farmville, TX","Farmville  TX","Farmville  TX",37.3024713,-78.3923813
"Near Ft Eustis Va.","Near Ft Eustis Va.","Near Ft Eustis Va ","Near Ft Eustis Va",,
"Upper Left Tenderloin","Upper Left Tenderloin","Upper Left Tenderloin","Upper Left Tenderloin",,
"The Great State of Texas","The Great State of Texas","The Great State of Texas","The Great State of Texas",,
"Voie de Torsion","Voie de Torsion","Voie de Torsion","Voie de Torsion",,
"Concord Bridge, MA","Concord Bridge, MA","Concord Bridge  MA","Concord Bridge  MA",33.8492891,-84.5587065
"Tokyo-to, Japan","Tokyo-to, Japan","Tokyo to  Japan","Tokyo to  Japan",35.6828387,139.7594549
"itinerant, 4 corners area","itinerant, 4 corners area","itinerant  4 corners area","itinerant  4 corners area",,
"naag isku fiilian ","naag isku fiilian ","naag isku fiilian ","naag isku fiilian",,
"Katihar, bihar, India","Katihar, bihar, India","Katihar  bihar  India","Katihar  bihar  India",25.56090035,87.6476535399715
"My Bug Out Spot","My Bug Out Spot","My Bug Out Spot","My Bug Out Spot",,
"Washington D.C.","Washington D.C.","Washington D C ","Washington D C",38.8949855,-77.0365708
"Photic zone","Photic zone","Photic zone","Photic zone",,
"Website","Website","Website","Website",48.5398316,2.6585048
"Hobart, Tasmania, Australia","Hobart, Tasmania, Australia","Hobart  Tasmania  Australia","Hobart  Tasmania  Australia",-42.8825088,147.3281233
"Coastal, New South Wales","Coastal, New South Wales","Coastal  New South Wales","Coastal  New South Wales",-33.8539671,151.2860189
"Goole, England","Goole, England","Goole  England","Goole  England",53.7035625,-0.8715949
"Birmingham","Birmingham","Birmingham","Birmingham",52.4796992,-1.9026911
"SUNSHINE STATE","SUNSHINE STATE","SUNSHINE STATE","SUNSHINE STATE",40.0658191,-105.3666599
"Cuddapah","Cuddapah","Cuddapah","Cuddapah",14.4515672,78.8292776
"York, England","York, England","York  England","York  England",53.9590555,-1.0815361
"New Hampshire","New Hampshire","New Hampshire","New Hampshire",43.4849133,-71.6553992
"South Pacific Paradise","South Pacific Paradise","South Pacific Paradise","South Pacific Paradise",-26.6183256,153.0790472
"Vikhroli East, Mumbai","Vikhroli East, Mumbai","Vikhroli East  Mumbai","Vikhroli East  Mumbai",19.1172592,72.9355194
"Land of Brave","Land of Brave","Land of Brave","Land of Brave",-41.5942,147.122245520902
"Na h-Eileanan Siar, Alba ","Na h-Eileanan Siar, Alba ","Na h Eileanan Siar  Alba ","Na h Eileanan Siar  Alba",57.666667,-7.166667
"Africa","Africa","Africa","Africa",11.5024338,17.7578122
"Bangalore","Bangalore","Bangalore","Bangalore",12.9791198,77.5912997
"Winnetka, Los Angeles","Winnetka, Los Angeles","Winnetka  Los Angeles","Winnetka  Los Angeles",34.2058826,-118.570934
"Floyd County, KY","Floyd County, KY","Floyd County  KY","Floyd County  KY",37.5473459,-82.7645621
"AMERICA","AMERICA","AMERICA","AMERICA",51.44770365,5.96606928205559
"at least 6 feet away","at least 6 feet away","at least 6 feet away","at least 6 feet away",,
"7th level of hell, Clown World","7th level of hell, Clown ","7th level of hell  Clown ","7th level of hell  Clown",,
"Austin, Tx","Austin, Tx","Austin  Tx","Austin  Tx",30.2711286,-97.7436995
"Fort Collins, CO","Fort Collins, CO","Fort Collins  CO","Fort Collins  CO",40.5508527,-105.0668085
"Oklahoma City, OK","Oklahoma City, OK","Oklahoma City  OK","Oklahoma City  OK",35.4729886,-97.5170536
"MINNESOTA ","MINNESOTA ","MINNESOTA ","MINNESOTA",45.9896587,-94.6113288
"Silicon Valley ","Silicon Valley ","Silicon Valley ","Silicon Valley",37.4429964,-122.1545229
"I am not affiliated w/pk in CO","I am not affiliated w/pk in CO","I am not affiliated w pk in CO","I am not affiliated w pk in CO",,
"Internet People","Internet People","Internet People","Internet People",,
"Liberal Hell, WA","Liberal Hell, WA","Liberal Hell  WA","Liberal Hell  WA",,
"FREE BOOK. ""Revolution: Ice Age Re-Entry"" Click link.","FREE BOOK. ""Revolution: Ice Age Re-Entry"" Click link.","FREE BOOK   Revolution  Ice Age Re Entry  Click link ","FREE BOOK   Revolution  Ice Age Re Entry  Click link",,
"+Ultra","+Ultra","+Ultra","+Ultra",35.9640219,-118.998216
"To study the world.","To study the .","To study the  ","To study the",-28.7653091,24.7699002
"Modern World","Modern ","Modern ","Modern",48.3357255,17.3087863
"Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel","Vlaamse Rand rond Brussel",,
"Walking my dogs.","Walking my dogs.","Walking my dogs ","Walking my dogs",,
"Calgary, Canada","Calgary, Canada","Calgary  Canada","Calgary  Canada",51.0534234,-114.0625892
"Utkal, Bharat","Utkal, Bharat","Utkal  Bharat","Utkal  Bharat",20.5048189,85.8215459
"Uganda","Uganda","Uganda","Uganda",1.5333554,32.2166578
"Scottsdale, AZ","Scottsdale, AZ","Scottsdale  AZ","Scottsdale  AZ",33.4942189,-111.9260184
"Richmond, VA","Richmond, VA","Richmond  VA","Richmond  VA",-32.8652,151.5012
"South Texas, USA","South Texas, USA","South Texas  USA","South Texas  USA",28.7048064,-100.4815063
"British Columbia, Canada","British Columbia, Canada","British Columbia  Canada","British Columbia  Canada",55.001251,-125.002441
"Universal Omnipotence","Universal Omnipotence","Universal Omnipotence","Universal Omnipotence",,
"ny","ny","ny","ny",43.1561681,-75.8449946
"A dystopian nightmare","A dystopian nightmare","A dystopian nightmare","A dystopian nightmare",,
"your nightmare","your nightmare","your nightmare","your nightmare",,
"Edge of the Civilized World","Edge of the Civilized ","Edge of the Civilized ","Edge of the Civilized",,
"India to Japan","India to Japan","India to Japan","India to Japan",35.6324357,139.7123863
"New Zealand / Zimbabwe","New Zealand / Zimbabwe","New Zealand   Zimbabwe","New Zealand   Zimbabwe",,
"Bologna","Bologna","Bologna","Bologna",44.4936714,11.3430347
"lower Slobovia","lower Slobovia","lower Slobovia","lower Slobovia",33.633953,-98.18899
"USA Patriot","USA Patriot","USA Patriot","USA Patriot",38.7745238,-82.3837648
"Westlake Village, CA","Westlake Village, CA","Westlake Village  CA","Westlake Village  CA",55.2245338,-118.8126004
"Panopticon, USA","Panopticon, USA","Panopticon  USA","Panopticon  USA",,
"Limbabwanesia","Limbabwanesia","Limbabwanesia","Limbabwanesia",,
"Shining City on the Hill","Shining City on the Hill","Shining City on the Hill","Shining City on the Hill",,
"Arlington, VA","Arlington, VA","Arlington  VA","Arlington  VA",38.8903961,-77.0841585
"Sparwood, British Columbia","Sparwood, British Columbia","Sparwood  British Columbia","Sparwood  British Columbia",49.7332695,-114.8858477
"Constitutional Republic USA","Constitutional Republic USA","Constitutional Republic USA","Constitutional Republic USA",,
"In your mind","In your mind","In your mind","In your mind",12.9840399,77.7214275479427
"Blacksburg, VA","Blacksburg, VA","Blacksburg  VA","Blacksburg  VA",37.2296566,-80.4136767
"Cairo, Egypt ","Cairo, Egypt ","Cairo  Egypt ","Cairo  Egypt",30.048819,31.243666
"Rumford, Maine","Rumford, Maine","Rumford  Maine","Rumford  Maine",44.554271,-70.551453
"Hungary","Hungary","Hungary","Hungary",47.1817585,19.5060937
"Millington, Mi","Millington, Mi","Millington  Mi","Millington  Mi",35.3414745,-89.8973084
"Buckeye AZ","Buckeye AZ","Buckeye AZ","Buckeye AZ",33.3702748,-112.5838673
"Hades","Hades","Hades","Hades",53.5409432,-1.7952175
"Coventry, CT","Coventry, CT","Coventry  CT","Coventry  CT",46.672635,-67.994309
"FL U.S.A.","FL U.S.A.","FL U S A ","FL U S A",28.5491653,-81.3810573
"Kekistan","Kekistan","Kekistan","Kekistan",,
"Edinburgh","Edinburgh","Edinburgh","Edinburgh",55.9533456,-3.1883749
"Minnesota.","Minnesota.","Minnesota ","Minnesota",45.9896587,-94.6113288
"China, Hubei","China, Hubei","China  Hubei","China  Hubei",31.15172525,112.87832224656
"Eastbourne, UK","Eastbourne, UK","Eastbourne  UK","Eastbourne  UK",50.7685761,0.2957854
"Arda","Arda","Arda","Arda",41.46174,24.63866
"Chile ","Chile ","Chile ","Chile",-31.7613365,-71.3187697
"Parts unknown","Parts unknown","Parts unknown","Parts unknown",5.5276657,-75.4599016
"Cheshire, CT","Cheshire, CT","Cheshire  CT","Cheshire  CT",42.6463509,-73.8064102
"Ahmadabad City, India","Ahmadabad City, India","Ahmadabad City  India","Ahmadabad City  India",23.0216238,72.5797068
"Punjab India","Punjab India","Punjab India","Punjab India",30.9293211,75.5004841
"Hangar","Hangar","Hangar","Hangar",32.7421679,-16.7114252
"SC","SC","SC","SC",33.6874388,-80.4363743
"BBSR, Odisha, India","BBSR, Odisha, India","BBSR  Odisha  India","BBSR  Odisha  India",20.2807773,85.7992407282303
"Lucknow, India","Lucknow, India","Lucknow  India","Lucknow  India",26.8381,80.9346001
"Iloilo City","Iloilo City","Iloilo City","Iloilo City",10.7026718,122.5686136
"Ahmedabad","Ahmedabad","Ahmedabad","Ahmedabad",23.0216238,72.5797068
"Jalingo, Nigeria","Jalingo, Nigeria","Jalingo  Nigeria","Jalingo  Nigeria",8.9055829,11.3361256883854
"Mumbai..","Mumbai..","Mumbai  ","Mumbai",18.9387711,72.8353355
"11°41'50<U+2033>N 165°16'19<U+2033>E","11°41'50E","11°41 50E","11°41 50E",,
"United States of AmericaOld en","United States of AmericaOld en","United States of AmericaOld en","United States of AmericaOld en",,
"La La Land<U+0001F92A>","La La Land","La La Land","La La Land",-29.8508963,27.538956984465
"Network Anomaly","Network Anomaly","Network Anomaly","Network Anomaly",,
"Atlanta, Georgia USA","Atlanta, Georgia USA","Atlanta  Georgia USA","Atlanta  Georgia USA",33.7490987,-84.3901849
"Tustin, CA","Tustin, CA","Tustin  CA","Tustin  CA",33.7458511,-117.826166
"New Zealand","New Zealand","New Zealand","New Zealand",-41.5000831,172.8344077
"CANADA","CANADA","CANADA","CANADA",61.0666922,-107.9917071
"Davao, Philippines","Davao, Philippines","Davao  Philippines","Davao  Philippines",7.0644576,125.6083647
"Jakarta, Indonesia","Jakarta, Indonesia","Jakarta  Indonesia","Jakarta  Indonesia",-6.1753942,106.827183
"San Antonio, TX","San Antonio, TX","San Antonio  TX","San Antonio  TX",29.4246002,-98.4951405
"North Concord Bridge 01775","North Concord Bridge 01775","North Concord Bridge 01775","North Concord Bridge 01775",,
"FUCK YOU, I'M DEAD!","FUCK YOU, I'M DEAD!","FUCK YOU  I M DEAD ","FUCK YOU  I M DEAD",,
"Rajahmundry, Andhra Pradesh","Rajahmundry, Andhra Pradesh","Rajahmundry  Andhra Pradesh","Rajahmundry  Andhra Pradesh",17.0050454,81.7804732
"Washington D.C","Washington D.C","Washington D C","Washington D C",38.8949855,-77.0365708
"lagos","lagos","lagos","lagos",6.4550575,3.3941795
"Milwaukee, WI","Milwaukee, WI","Milwaukee  WI","Milwaukee  WI",43.0349931,-87.922497
"Sanctuary State of CA","Sanctuary State of CA","Sanctuary State of CA","Sanctuary State of CA",50.9888638,-108.0710881
"The Mirror Realm","The Mirror Realm","The Mirror Realm","The Mirror Realm",,
"The great state of Texas","The great state of Texas","The great state of Texas","The great state of Texas",,
"Anonymous concrete hell","Anonymous concrete hell","Anonymous concrete hell","Anonymous concrete hell",,
"USA and Germany","USA and Germany","USA and Germany","USA and Germany",50.362174,8.6428355
"Carson City, NV","Carson City, NV","Carson City  NV","Carson City  NV",39.1649125,-119.7666496
"Mulund, Mumbai, India","Mulund, Mumbai, India","Mulund  Mumbai  India","Mulund  Mumbai  India",19.1722904,72.9564695
"Staten Island, NY","Staten Island, NY","Staten Island  NY","Staten Island  NY",40.5834557,-74.1496048
"Chandigarh, India","Chandigarh, India","Chandigarh  India","Chandigarh  India",30.7194022,76.7646552
"Delhi, India","Delhi, India","Delhi  India","Delhi  India",28.6517178,77.2219388
