"location","location2","location3","location4","lon_google","lat_google"
"United States of Amnesia","United States of Amnesia","United States of Amnesia","United States of Amnesia",,
"Glover Park, Washington","Glover Park, Washington","Glover Park  Washington","Glover Park  Washington",-77.0772,38.9209446
"Zurich","Zurich","Zurich","Zurich",8.541694,47.3768866
"The White House","The White House","The White House","The White House",-77.0365298,38.8976763
"Birmingham, UK ","Birmingham, UK ","Birmingham  UK ","Birmingham  UK",-1.890401,52.486243
"Everett, MA","Everett, MA","Everett  MA","Everett  MA",-71.0536625,42.40843
"Santo Domingo","Santo Domingo","Santo Domingo","Santo Domingo",-69.9312117,18.4860575
"ÜT: 52.377811,-1.762603","ÜT: 52.377811,-1.762603","ÜT  52 377811  1 762603","ÜT  52 377811  1 762603",,
"Bristol, PA","Bristol, PA","Bristol  PA","Bristol  PA",-74.8518311,40.1006661
"Brandon, Florida","Brandon, Florida","Brandon  Florida","Brandon  Florida",-82.2859247,27.937801
"Look over your left shoulder","Look over your left shoulder","Look over your left shoulder","Look over your left shoulder",,
"Myakka City, Florida","Myakka City, Florida","Myakka City  Florida","Myakka City  Florida",-82.1625611,27.3500393
"soul roaming","soul roaming","soul roaming","soul roaming",,
"Corpitos,TX","Corpitos,TX","Corpitos TX","Corpitos TX",-99.9018131,31.9685988
"Rolling stone gathers no moss","Rolling stone gathers no moss","Rolling stone gathers no moss","Rolling stone gathers no moss",,
"middle, tennessee","middle, tennessee","middle  tennessee","middle  tennessee",-86.3648813,35.8486105
"FEMA REGION 5","FEMA REGION 5","FEMA REGION 5","FEMA REGION 5",-87.6308806,41.8750063
"LDN stand up tall","LDN stand up tall","LDN stand up tall","LDN stand up tall",,
"Troy, Ohio USA","Troy, Ohio USA","Troy  Ohio USA","Troy  Ohio USA",-84.2032767,40.0394982
"Raleigh, NC","Raleigh, NC","Raleigh  NC","Raleigh  NC",-78.6381787,35.7795897
"NWM","NWM","NWM","NWM",-94.1592546,36.0644029
"Cane Ridge, TN","Cane Ridge, TN","Cane Ridge  TN","Cane Ridge  TN",-86.6708669,36.0178175
"Green Acres, WA","Green Acres, WA","Green Acres  WA","Green Acres  WA",-117.1643804,47.6677705
"Hanover, NH","Hanover, NH","Hanover  NH","Hanover  NH",-72.2895526,43.7022451
"qmaps.pub","qmaps.pub","qmaps pub","qmaps pub",,
"Florida, Usa","Florida, Usa","Florida  Usa","Florida  Usa",-81.5157535,27.6648274
"Higher Elevations, GA","Higher Elevations, GA","Higher Elevations  GA","Higher Elevations  GA",-84.2377378,33.8945612
"Animal Farm","Animal Farm","Animal Farm","Animal Farm",-96.336574,29.909642
"Hollywood For Ugly People","Hollywood For Ugly People","Hollywood For Ugly People","Hollywood For Ugly People",,
"Dunwall, Empire of the Isles.","Dunwall, Empire of the Isles.","Dunwall  Empire of the Isles ","Dunwall  Empire of the Isles",,
"Houston/New Orleans","Houston/New Orleans","Houston New Orleans","Houston New Orleans",-90.0776554,29.9365048
"314 and 214","314 and 214","314 and 214","314 and 214",,
"Long Island City, Queens","Long Island City, Queens","Long Island City  Queens","Long Island City  Queens",-73.9485424,40.744679
"New Jeru","New Jeru","New Jeru","New Jeru",-84.2978194,33.9061539
"Geneva, Switzerland","Geneva, Switzerland","Geneva  Switzerland","Geneva  Switzerland",6.1431577,46.2043907
"Malden, Missouri, USA","Malden, Missouri, USA","Malden  Missouri  USA","Malden  Missouri  USA",-89.9664798,36.5570028
"LXKS","LXKS","LXKS","LXKS",,
"Varanasi, Uttar Pradesh","Varanasi, Uttar Pradesh","Varanasi  Uttar Pradesh","Varanasi  Uttar Pradesh",82.9739144,25.3176452
"Uptown, Philadelphia.","Uptown, Philadelphia.","Uptown  Philadelphia ","Uptown  Philadelphia",-75.1564534,39.987431
"Ball is LIFE<U+0001F3C0>","Ball is LIFE","Ball is LIFE","Ball is LIFE",,
"Ct USA","Ct USA","Ct USA","Ct USA",-73.087749,41.6032207
"Székesfehérvár, Hungary","Székesfehérvár, Hungary","Székesfehérvár  Hungary","Székesfehérvár  Hungary",18.4221358,47.1860262
"Oxford, MI","Oxford, MI","Oxford  MI","Oxford  MI",-83.2646624,42.8247524
"Evans, GA","Evans, GA","Evans  GA","Evans  GA",-82.1306747,33.5337464
"KY/SC","KY/SC","KY SC","KY SC",-95.7782196,29.7587319
"Ankara & Canberra","Ankara & Canberra","Ankara   Canberra","Ankara   Canberra",32.8597419,39.9333635
"Wakanda Forever","Wakanda Forever","Wakanda Forever","Wakanda Forever",,
"Thailand - Madagascar - Egypt","Thailand - Madagascar - Egypt","Thailand   Madagascar   Egypt","Thailand   Madagascar   Egypt",,
"New Jerusalem","New Jerusalem","New Jerusalem","New Jerusalem",-95.9535312,36.2054089
"LucknowDelhi-ChandigarhLaddakh","LucknowDelhi-ChandigarhLaddakh","LucknowDelhi ChandigarhLaddakh","LucknowDelhi ChandigarhLaddakh",80.946166,26.8466937
"Oakland made Texas Educated","Oakland made Texas Educated","Oakland made Texas Educated","Oakland made Texas Educated",-122.2711639,37.8043514
"Cranberry Township PA","Cranberry Township PA","Cranberry Township PA","Cranberry Township PA",-80.1071379,40.6849626
"SF Bay Area, California, USA","SF Bay Area, California, USA","SF Bay Area  California  USA","SF Bay Area  California  USA",-122.4194155,37.7749295
"Canada/ USA","Canada/ USA","Canada  USA","Canada  USA",-123.1755444,49.1971768
"Screwston, TX","Screwston, TX","Screwston  TX","Screwston  TX",-95.5300325,29.6427711
"petersfield","petersfield","petersfield","petersfield",-0.93899,51.007591
"New Jersey, United States","New Jersey, United States","New Jersey  United States","New Jersey  United States",-74.4056612,40.0583238
"NYC, LI and Seattle","NYC, LI and Seattle","NYC  LI and Seattle","NYC  LI and Seattle",-73.9331348,40.7440702
"Basement Eating Hot Pockets","Basement Eating Hot Pockets","Basement Eating Hot Pockets","Basement Eating Hot Pockets",,
"Chitradurga, India","Chitradurga, India","Chitradurga  India","Chitradurga  India",76.3980464,14.2250932
"Ideas, space, emptiness","Ideas, space, emptiness","Ideas  space  emptiness","Ideas  space  emptiness",,
"Wisconsin USA","Wisconsin USA","Wisconsin USA","Wisconsin USA",-88.7878678,43.7844397
"Prescott,Arkansas","Prescott,Arkansas","Prescott Arkansas","Prescott Arkansas",-93.3810057,33.8026107
"Tokyo  ","Tokyo  ","Tokyo  ","Tokyo",139.7690174,35.6803997
"Kingston upon Thames, London","Kingston upon Thames, London","Kingston upon Thames  London","Kingston upon Thames  London",-0.300689,51.41233
"Stanford, CA","Stanford, CA","Stanford  CA","Stanford  CA",-122.1660756,37.424106
"SW, PA","SW, PA","SW  PA","SW  PA",-79.5208718,40.1989597
"Always in the Shadows","Always in the Shadows","Always in the Shadows","Always in the Shadows",,
"252","252","252","252",-77.3909643,35.5747553
"my bed ","my bed ","my bed ","my bed",-93.2718701,44.9991459
"Sterling, VA","Sterling, VA","Sterling  VA","Sterling  VA",-77.4291298,39.0066993
"Carrollton, TX","Carrollton, TX","Carrollton  TX","Carrollton  TX",-96.8899636,32.9756415
"Adirondacks NY","Adirondacks NY","Adirondacks NY","Adirondacks NY",-73.8693043,44.1247154
"Yorktown, VA","Yorktown, VA","Yorktown  VA","Yorktown  VA",-76.5096731,37.2387556
"Does it even matter?","Does it even matter?","Does it even matter ","Does it even matter",,
"NW AR","NW AR","NW AR","NW AR",-94.2333355,36.0148605
"St Augustine Beach, FL","St Augustine Beach, FL","St Augustine Beach  FL","St Augustine Beach  FL",-81.2711546,29.8439828
"Vacaville, CA ","Vacaville, CA ","Vacaville  CA ","Vacaville  CA",-121.9877444,38.3565773
"Phenix City, AL & Columbus GA","Phenix City, AL & Columbus GA","Phenix City  AL   Columbus GA","Phenix City  AL   Columbus GA",-85.0007653,32.4709761
"GOD BLESS AMERICA!","GOD BLESS AMERICA!","GOD BLESS AMERICA ","GOD BLESS AMERICA",,
"Moscou, Russie","Moscou, Russie","Moscou  Russie","Moscou  Russie",37.6172999,55.755826
"Yucaipa, CA","Yucaipa, CA","Yucaipa  CA","Yucaipa  CA",-117.0430865,34.033625
"Emory University","Emory University","Emory University","Emory University",-84.32224,33.7971368
"Chasing Heaven","Chasing Heaven","Chasing Heaven","Chasing Heaven",,
"Just another nut in the bowl","Just another nut in the bowl","Just another nut in the bowl","Just another nut in the bowl",,
"No Euro, No EURSS!","No Euro, No EURSS!","No Euro  No EURSS ","No Euro  No EURSS",,
"Atlanta, GA U.S.A.","Atlanta, GA U.S.A.","Atlanta  GA U S A ","Atlanta  GA U S A",-84.3879824,33.7489954
"Oman","Oman","Oman","Oman",55.975413,21.4735329
"Temple Hills MD","Temple Hills MD","Temple Hills MD","Temple Hills MD",-76.9455296,38.8140024
"Apasionado del deporte","Apasionado del deporte","Apasionado del deporte","Apasionado del deporte",,
"Aquí y ahora","Aquí y ahora","Aquí y ahora","Aquí y ahora",,
"uttarpradesh, India","uttarpradesh, India","uttarpradesh  India","uttarpradesh  India",80.9461592,26.8467088
"Nürnberg, Bayern","Nürnberg, Bayern","Nürnberg  Bayern","Nürnberg  Bayern",11.0766654,49.4521018
"Rongai","Rongai","Rongai","Rongai",36.7442377,-1.3938636
"VA/614","VA/614","VA 614","VA 614",-77.51835,36.7490729
"Nicetown, Philadelphia","Nicetown, Philadelphia","Nicetown  Philadelphia","Nicetown  Philadelphia",-75.1591876,40.0102851
"NEW JERSEY / CHARLOTTE,NC","NEW JERSEY / CHARLOTTE,NC","NEW JERSEY   CHARLOTTE NC","NEW JERSEY   CHARLOTTE NC",-80.9473146,35.2144026
"Hyderabad,AP,India.","Hyderabad,AP,India.","Hyderabad AP India ","Hyderabad AP India",78.486671,17.385044
"Helsinki","Helsinki","Helsinki","Helsinki",24.9383791,60.1698557
"Myrtle Beach, SC","Myrtle Beach, SC","Myrtle Beach  SC","Myrtle Beach  SC",-78.8866943,33.6890603
"Cochin","Cochin","Cochin","Cochin",76.2673041,9.9312328
"Parrish, FL","Parrish, FL","Parrish  FL","Parrish  FL",-82.4250941,27.5875357
"Seated With Jesus","Seated With Jesus","Seated With Jesus","Seated With Jesus",,
"Wellington, FL","Wellington, FL","Wellington  FL","Wellington  FL",-80.2683571,26.6617635
"Hospet, India","Hospet, India","Hospet  India","Hospet  India",76.3909241,15.2688542
"Shelbyville, TN","Shelbyville, TN","Shelbyville  TN","Shelbyville  TN",-86.4602717,35.483406
"Hollow Night","Hollow Night","Hollow Night","Hollow Night",-91.8565574,38.3128211
"Great USA! Beautiful mts in SW","Great USA! Beautiful mts in SW","Great USA  Beautiful mts in SW","Great USA  Beautiful mts in SW",,
"Normal, America","Normal, America","Normal  America","Normal  America",-88.9906312,40.5142026
"Williamsport","Williamsport","Williamsport","Williamsport",-77.0010786,41.2411897
"Backseat w’5CubanLinks/Texas<U+0001F5A4>","Backseat w’5CubanLinks/Texas","Backseat w 5CubanLinks Texas","Backseat w 5CubanLinks Texas",-99.9018131,31.9685988
"Great Northwest, USA","Great Northwest, USA","Great Northwest  USA","Great Northwest  USA",-98.6573084,29.4922794
"Palermo, Sicily","Palermo, Sicily","Palermo  Sicily","Palermo  Sicily",13.3614868,38.11569
"Denton, TX","Denton, TX","Denton  TX","Denton  TX",-97.1330683,33.2148412
"Hong Kong - Manila - London","Hong Kong - Manila - London","Hong Kong   Manila   London","Hong Kong   Manila   London",-0.1277583,51.5073509
"The Holy Land, Omaha NE","The Holy Land, Omaha NE","The Holy Land  Omaha NE","The Holy Land  Omaha NE",-96.1313855,41.2036966
"Sayreville, NJ","Sayreville, NJ","Sayreville  NJ","Sayreville  NJ",-74.360846,40.4594021
"Come Get You Some, Texas","Come Get You Some, Texas","Come Get You Some  Texas","Come Get You Some  Texas",-99.9018131,31.9685988
"Kyle, TX","Kyle, TX","Kyle  TX","Kyle  TX",-97.8772267,29.9891052
"Munich, Germany","Munich, Germany","Munich  Germany","Munich  Germany",11.5819805,48.1351253
"Hyderabad & <U+0001F5A4>Pulwama, India","Hyderabad & Pulwama, India","Hyderabad   Pulwama  India","Hyderabad   Pulwama  India",78.486671,17.385044
"Boundless","Boundless","Boundless","Boundless",-83.0038934,40.0852114
"Black Diamond, Washington","Black Diamond, Washington","Black Diamond  Washington","Black Diamond  Washington",-122.0031692,47.3087121
"Lansdale, PA","Lansdale, PA","Lansdale  PA","Lansdale  PA",-75.2837862,40.2414952
"Christiansburg, VA","Christiansburg, VA","Christiansburg  VA","Christiansburg  VA",-80.4089389,37.1298517
"Moreno Valley, CA","Moreno Valley, CA","Moreno Valley  CA","Moreno Valley  CA",-117.2296717,33.9424658
"Niagara Falls, Ontario","Niagara Falls, Ontario","Niagara Falls  Ontario","Niagara Falls  Ontario",-79.0849436,43.0895577
"ireland","ireland","ireland","ireland",-7.6920536,53.1423672
"Stump Creek, Pa.","Stump Creek, Pa.","Stump Creek  Pa ","Stump Creek  Pa",-78.8365031,41.0114077
"Hong Kong, China","Hong Kong, China","Hong Kong  China","Hong Kong  China",114.1693611,22.3193039
"Lake Murray of Richland, SC","Lake Murray of Richland, SC","Lake Murray of Richland  SC","Lake Murray of Richland  SC",-81.2628961,34.1196956
"Calif., (dad in background)","Calif., (dad in background)","Calif    dad in background ","Calif    dad in background",-119.4179324,36.778261
"NJ, USA","NJ, USA","NJ  USA","NJ  USA",-74.4056612,40.0583238
"Scranton, PA","Scranton, PA","Scranton  PA","Scranton  PA",-75.6624122,41.408969
"Anytown, NJ","Anytown, NJ","Anytown  NJ","Anytown  NJ",-74.6152508,40.3458438
"Lisbonne, Portugal","Lisbonne, Portugal","Lisbonne  Portugal","Lisbonne  Portugal",-9.1393366,38.7222524
"Glorious E.U. ","Glorious E.U. ","Glorious E U  ","Glorious E U",,
"GA, USA  Former New Englander","GA, USA  Former New Englander","GA  USA  Former New Englander","GA  USA  Former New Englander",-82.9000751,32.1656221
"Minneapolis / TwinCities / MN","Minneapolis / TwinCities / MN","Minneapolis   TwinCities   MN","Minneapolis   TwinCities   MN",-93.2650108,44.977753
"Mawson lakes, South Australia","Mawson lakes, South Australia","Mawson lakes  South Australia","Mawson lakes  South Australia",138.6149026,-34.8111486
"Kampala || Berlin","Kampala || Berlin","Kampala || Berlin","Kampala || Berlin",32.5825197,0.3475964
"Troy, AL","Troy, AL","Troy  AL","Troy  AL",-85.969951,31.8087678
"oxford
","oxford
","oxford
","oxford",-1.2543668,51.7548164
"POD #London #Chicago #BLUEDOT","POD #London #Chicago #BLUEDOT","POD  London  Chicago  BLUEDOT","POD  London  Chicago  BLUEDOT",-0.1277583,51.5073509
"Scottsdale,AZ","Scottsdale,AZ","Scottsdale AZ","Scottsdale AZ",-111.9260519,33.4941704
"<U+4E2D><U+56FD>,<U+5317><U+4EAC>   Beijing,China","   Beijing,China","   Beijing China","Beijing China",116.4073963,39.9041999
"Washington State.","Washington State.","Washington State ","Washington State",-120.7401385,47.7510741
"Minden, NV","Minden, NV","Minden  NV","Minden  NV",-119.7657332,38.9540739
"New South Wales","New South Wales","New South Wales","New South Wales",146.921099,-31.2532183
"Lewisville, TX","Lewisville, TX","Lewisville  TX","Lewisville  TX",-96.994174,33.046233
"Dont Forget Benghazi <U+0001F448><U+0001F463><U+0001F463>","Dont Forget Benghazi ","Dont Forget Benghazi ","Dont Forget Benghazi",20.0867909,32.1194242
"The Tavistock Institute","The Tavistock Institute","The Tavistock Institute","The Tavistock Institute",,
"Yavin IV","Yavin IV","Yavin IV","Yavin IV",,
"Dixieland","Dixieland","Dixieland","Dixieland",-96.8309393,32.6034342
"Sanford, NC","Sanford, NC","Sanford  NC","Sanford  NC",-79.1802994,35.4798757
"Finger Lakes Region, NY","Finger Lakes Region, NY","Finger Lakes Region  NY","Finger Lakes Region  NY",-76.9297247,42.7238165
"Jacksonville, Florida","Jacksonville, Florida","Jacksonville  Florida","Jacksonville  Florida",-81.655651,30.3321838
"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam  Netherlands","Rotterdam  Netherlands",4.4777326,51.9244201
"columbus ohio","columbus ohio","columbus ohio","columbus ohio",-82.9987942,39.9611755
"Carnegie Mellon University","Carnegie Mellon University","Carnegie Mellon University","Carnegie Mellon University",-79.9429552,40.4427314
"Philadelphia","Philadelphia","Philadelphia","Philadelphia",-75.1652215,39.9525839
"Glen Burnie, Md.","Glen Burnie, Md.","Glen Burnie  Md ","Glen Burnie  Md",-76.6246886,39.1626084
"NO GOFUNDME TO MY DM! ","NO GOFUNDME TO MY DM! ","NO GOFUNDME TO MY DM  ","NO GOFUNDME TO MY DM",,
"Someplace, Ontario, Canada","Someplace, Ontario, Canada","Someplace  Ontario  Canada","Someplace  Ontario  Canada",-85.323214,51.253775
"Wales, United Kingdom","Wales, United Kingdom","Wales  United Kingdom","Wales  United Kingdom",-3.7837117,52.1306607
"WV & EAST TENNESSEE !!!","WV & EAST TENNESSEE !!!","WV   EAST TENNESSEE    ","WV   EAST TENNESSEE",-80.4549026,38.5976262
"Pilot Mtn, NC","Pilot Mtn, NC","Pilot Mtn  NC","Pilot Mtn  NC",-80.4742242,36.3401384
"New York Shtty","New York Shtty","New York Shtty","New York Shtty",-74.0059728,40.7127753
"Commiefornia (temp)","Commiefornia (temp)","Commiefornia  temp ","Commiefornia  temp",,
"Teufen (AR), Schweiz","Teufen (AR), Schweiz","Teufen  AR   Schweiz","Teufen  AR   Schweiz",9.3892463,47.390742
"Allen, TX","Allen, TX","Allen  TX","Allen  TX",-96.6705503,33.1031744
"MCR, Rainy Fascism Island","MCR, Rainy Fascism Island","MCR  Rainy Fascism Island","MCR  Rainy Fascism Island",,
"99.9% Follow Back","99.9% Follow Back","99 9  Follow Back","99 9  Follow Back",,
"FEMA REGION 9","FEMA REGION 9","FEMA REGION 9","FEMA REGION 9",-122.272921,37.8028027
"Una, India","Una, India","Una  India","Una  India",76.2708152,31.4684649
"Port Chester, NY","Port Chester, NY","Port Chester  NY","Port Chester  NY",-73.6656834,41.0017643
"FoCO","FoCO","FoCO","FoCO",-105.0798592,40.5906071
"Evergreen Fireside , Faewood","Evergreen Fireside , Faewood","Evergreen Fireside   Faewood","Evergreen Fireside   Faewood",-104.7524586,39.3915016
" Detroit MI-FL Gab@2IslandJoJo"," Detroit MI-FL Gab@2IslandJoJo"," Detroit MI FL Gab 2IslandJoJo","Detroit MI FL Gab 2IslandJoJo",-83.0457538,42.331427
"A state infested w/ DemonRats","A state infested w/ DemonRats","A state infested w  DemonRats","A state infested w  DemonRats",,
"Panther Burn MS","Panther Burn MS","Panther Burn MS","Panther Burn MS",-90.8683655,33.06641
"Present","Present","Present","Present",,
"Charleston, WV","Charleston, WV","Charleston  WV","Charleston  WV",-81.6326234,38.3498195
"Kendal, England","Kendal, England","Kendal  England","Kendal  England",-2.74629,54.328006
"The Peoples Republic of MA","The Peoples Republic of MA","The Peoples Republic of MA","The Peoples Republic of MA",-71.1077853,42.3677357
"Manchester, UK","Manchester, UK","Manchester  UK","Manchester  UK",-2.2426305,53.4807593
"Pine Bush, New York ","Pine Bush, New York ","Pine Bush  New York ","Pine Bush  New York",-74.2990401,41.6081492
"Bengaluru bharathavarsha","Bengaluru bharathavarsha","Bengaluru bharathavarsha","Bengaluru bharathavarsha",77.5945627,12.9715987
"Vilnius","Vilnius","Vilnius","Vilnius",25.2796514,54.6871555
"New Zealand<U+0001F1F3><U+0001F1FF><U+0001F1F3><U+0001F1FF><U+0001F1F3><U+0001F1FF>","New Zealand","New Zealand","New Zealand",174.885971,-40.900557
"Port O'Connor, TX","Port O'Connor, TX","Port O Connor  TX","Port O Connor  TX",-96.4053596,28.4475898
"Mussorie, India","Mussorie, India","Mussorie  India","Mussorie  India",78.0643723,30.4597892
"Stockport, England","Stockport, England","Stockport  England","Stockport  England",-2.1575332,53.4106316
"Sly News Studio","Sly News Studio","Sly News Studio","Sly News Studio",,
"ÜT: 32.588793,-83.667148","ÜT: 32.588793,-83.667148","ÜT  32 588793  83 667148","ÜT  32 588793  83 667148",-97.7340567,30.2849185
"Portsmouth, England, United Kingdom","Portsmouth, England, United Kingdom","Portsmouth  England  United Kingdom","Portsmouth  England  United Kingdom",-1.0879769,50.8197675
"Wirral","Wirral","Wirral","Wirral",-3.073754,53.3727181
"USA-MS","USA-MS","USA MS","USA MS",-89.3985283,32.3546679
"Manchester, UK #Tommy Robinson","Manchester, UK #Tommy Robinson","Manchester  UK  Tommy Robinson","Manchester  UK  Tommy Robinson",-2.2426305,53.4807593
"Hyderabad,India","Hyderabad,India","Hyderabad India","Hyderabad India",78.486671,17.385044
"Elmhurst, IL","Elmhurst, IL","Elmhurst  IL","Elmhurst  IL",-87.9403418,41.8994744
"Bonne Terre, MO","Bonne Terre, MO","Bonne Terre  MO","Bonne Terre  MO",-90.5554039,37.9231069
"East Anglia","East Anglia","East Anglia","East Anglia",1.2391761,52.6219215
"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+0001F1EC><U+0001F1E7>Scotland","Scotland","Scotland","Scotland",-4.2026458,56.4906712
"Wild country ","Wild country ","Wild country ","Wild country",-96.3857166,36.4146668
"Lost, but now I'm found","Lost, but now I'm found","Lost  but now I m found","Lost  but now I m found",,
"Ubiquito ","Ubiquito ","Ubiquito ","Ubiquito",-73.9734197,40.7517242
"Indian Rocks Beach","Indian Rocks Beach","Indian Rocks Beach","Indian Rocks Beach",-82.846561,27.8960019
"your attic........bwahahaha<U+0001F61C>","your attic........bwahahaha","your attic        bwahahaha","your attic        bwahahaha",,
"#Remove @IlhanMN @RashidaTlaib","#Remove @IlhanMN @RashidaTlaib"," Remove  IlhanMN  RashidaTlaib","Remove  IlhanMN  RashidaTlaib",,
"Vadodara (NaMo City) Gujarat","Vadodara (NaMo City) Gujarat","Vadodara  NaMo City  Gujarat","Vadodara  NaMo City  Gujarat",73.1812187,22.3071588
"heaven","heaven","heaven","heaven",-95.6235557,37.0326709
"virginia","virginia","virginia","virginia",-78.6568942,37.4315734
"Hamilton, Oh","Hamilton, Oh","Hamilton  Oh","Hamilton  Oh",-84.5613355,39.3995008
"Emmaus PA","Emmaus PA","Emmaus PA","Emmaus PA",-75.4968502,40.5395421
"The North","The North","The North","The North",-94.5907169,39.0425348
"Puyallup, Washington, USA","Puyallup, Washington, USA","Puyallup  Washington  USA","Puyallup  Washington  USA",-122.2928974,47.1853785
"Nice ","Nice ","Nice ","Nice",7.2619532,43.7101728
"urukari","urukari","urukari","urukari",,
"Lutèce","Lutèce","Lutèce","Lutèce",-77.064615,38.9094014
"Morris","Morris","Morris","Morris",-95.9188889,45.5919444
"Great state of Texas","Great state of Texas","Great state of Texas","Great state of Texas",,
"Gdansk, Poland","Gdansk, Poland","Gdansk  Poland","Gdansk  Poland",18.6466384,54.3520252
"West Coast of Florida,USA","West Coast of Florida,USA","West Coast of Florida USA","West Coast of Florida USA",-82.447546,27.436327
"Toulouse, France","Toulouse, France","Toulouse  France","Toulouse  France",1.444209,43.604652
"Irving, TX","Irving, TX","Irving  TX","Irving  TX",-96.9488945,32.8140177
"On top of the world","On top of the ","On top of the ","On top of the",-82.2595415,29.0811449
"Pleadia","Pleadia","Pleadia","Pleadia",,
"Off the hamster wheel for good","Off the hamster wheel for good","Off the hamster wheel for good","Off the hamster wheel for good",,
"My job (I have one, mom proud)","My job (I have one, mom proud)","My job  I have one  mom proud ","My job  I have one  mom proud",,
"State of Deplorability ","State of Deplorability ","State of Deplorability ","State of Deplorability",,
"On this side","On this side","On this side","On this side",-86.794714,33.395329
"Joshua Tree, CA","Joshua Tree, CA","Joshua Tree  CA","Joshua Tree  CA",-116.3130661,34.134728
"ex Satanic Matrix","ex Satanic Matrix","ex Satanic Matrix","ex Satanic Matrix",,
"Tamil Nadu, India","Tamil Nadu, India","Tamil Nadu  India","Tamil Nadu  India",78.6568942,11.1271225
"Dallas / Texas","Dallas / Texas","Dallas   Texas","Dallas   Texas",-96.7969879,32.7766642
" LA area..."," LA area..."," LA area   ","LA area",-118.2848067,33.8726016
"Thornaby-on-Tees","Thornaby-on-Tees","Thornaby on Tees","Thornaby on Tees",-1.2936359,54.5403076
"STAYING THE FUCK AT HOME","STAYING THE FUCK AT HOME","STAYING THE FUCK AT HOME","STAYING THE FUCK AT HOME",,
"Mental asylum","Mental asylum","Mental asylum","Mental asylum",-95.1245172,36.6591841
"Leeds","Leeds","Leeds","Leeds",-1.5490774,53.8007554
"Kelsey California","Kelsey California","Kelsey California","Kelsey California",-120.8207685,38.7987907
"AZ, USA","AZ, USA","AZ  USA","AZ  USA",-111.0937311,34.0489281
" Michigan "," Michigan "," Michigan ","Michigan",-85.6023643,44.3148443
"Norway/Canada","Norway/Canada","Norway Canada","Norway Canada",10.7318534,59.9189164
"World Citizen"," Citizen"," Citizen","Citizen",-96.806462,32.798351
"St. Louis","St. Louis","St  Louis","St  Louis",-90.1994042,38.6270025
"North Carolina, U.S.A.","North Carolina, U.S.A.","North Carolina  U S A ","North Carolina  U S A",-79.0192997,35.7595731
"Los Angeles, Mexico (CA)","Los Angeles, Mexico (CA)","Los Angeles  Mexico  CA ","Los Angeles  Mexico  CA",-118.1741338,34.0876369
"World Politics"," Politics"," Politics","Politics",-97.7460957,30.2646824
"Milky way,  I can see aliens !","Milky way,  I can see aliens !","Milky way   I can see aliens  ","Milky way   I can see aliens",,
"Oregon, OH USA","Oregon, OH USA","Oregon  OH USA","Oregon  OH USA",-83.4868768,41.6436603
"Skinwalker Ranch","Skinwalker Ranch","Skinwalker Ranch","Skinwalker Ranch",-109.8911387,40.2520857
"Saint Helens, England","Saint Helens, England","Saint Helens  England","Saint Helens  England",-2.737095,53.456307
"Durban S Africa (Via Indiana)","Durban S Africa (Via Indiana)","Durban S Africa  Via Indiana ","Durban S Africa  Via Indiana",31.0218404,-29.8586804
"Essex","Essex","Essex","Essex",0.4856781,51.5742447
"Realville, USA","Realville, USA","Realville  USA","Realville  USA",1.479447,44.114238
"Holodeck, Enterprise V","Holodeck, Enterprise V","Holodeck  Enterprise V","Holodeck  Enterprise V",,
"NW Montana","NW Montana","NW Montana","NW Montana",-110.3625658,46.8796822
"Northern Alberta","Northern Alberta","Northern Alberta","Northern Alberta",-113.5975533,53.5700247
"Lyon","Lyon","Lyon","Lyon",4.835659,45.764043
"Santa Monica","Santa Monica","Santa Monica","Santa Monica",-118.4911912,34.0194543
"@irusk for nice dissident vibe","@irusk for nice dissident vibe"," irusk for nice dissident vibe","irusk for nice dissident vibe",,
"Coast of Southern California","Coast of Southern California","Coast of Southern California","Coast of Southern California",-116.419389,34.9592083
"The void","The void","The void","The void",-81.5140897,28.3727178
"Brazil /Brasília.D.F.","Brazil /Brasília.D.F.","Brazil  Brasília D F ","Brazil  Brasília D F",-47.9218204,-15.826691
"Sioux Falls, SD","Sioux Falls, SD","Sioux Falls  SD","Sioux Falls  SD",-96.728333,43.5473028
"Kyoto, Japan","Kyoto, Japan","Kyoto  Japan","Kyoto  Japan",135.7681489,35.011564
"Madurai North, India","Madurai North, India","Madurai North  India","Madurai North  India",78.122967,9.935395
"jharkhand","jharkhand","jharkhand","jharkhand",85.2799354,23.6101808
"tshirts/coins/porn GETSBLOCKED","tshirts/coins/porn GETSBLOCKED","tshirts coins porn GETSBLOCKED","tshirts coins porn GETSBLOCKED",,
"SW USA","SW USA","SW USA","SW USA",-95.712891,37.09024
"Rhodes","Rhodes","Rhodes","Rhodes",28.2176379,36.4340533
"Amory, Mississippi, USA","Amory, Mississippi, USA","Amory  Mississippi  USA","Amory  Mississippi  USA",-88.488099,33.9842768
"Undisclosed Location","Undisclosed Location","Undisclosed Location","Undisclosed Location",-77.950851,34.235097
"Malolos, Bulacan","Malolos, Bulacan","Malolos  Bulacan","Malolos  Bulacan",120.8160376,14.8527393
